,category,dayofweek,descript,pddistrict,resolution,time,x,y,report_month,report_day
11848,ASSAULT,Saturday,INFLICT INJURY ON COHABITEE,SOUTHERN,non_processed,1,-122.40340479147899,37.775420706711,6,18
11849,LARCENY/THEFT,Thursday,"LOST PROPERTY, GRAND THEFT",CENTRAL,non_processed,990,-122.40688650360599,37.7887345763527,8,4
11850,OTHER OFFENSES,Friday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",MISSION,processed,1315,-122.419671780303,37.7650501214714,7,22
11851,LARCENY/THEFT,Sunday,PETTY THEFT FROM UNLOCKED AUTO,SOUTHERN,non_processed,1,-122.40340479147899,37.775420706711,9,4
11852,LARCENY/THEFT,Thursday,PETTY THEFT FROM LOCKED AUTO,BAYVIEW,non_processed,494,-122.392351560089,37.7300677159625,8,18
11853,VANDALISM,Saturday,"MALICIOUS MISCHIEF, VANDALISM",BAYVIEW,non_processed,1140,-122.37934537972001,37.73574190685721,4,30
11854,OTHER OFFENSES,Monday,TRAFFIC VIOLATION,TARAVAL,processed,1207,-122.475222189871,37.7210571460706,7,25
11855,SUSPICIOUS OCC,Tuesday,SUSPICIOUS OCCURRENCE,BAYVIEW,processed,1170,-122.40561026823099,37.732438865014,9,6
11856,VEHICLE THEFT,Sunday,"VEHICLE, RECOVERED, AUTO",CENTRAL,non_processed,1230,-122.405128001679,37.798979603256505,6,19
11857,DRUG/NARCOTIC,Wednesday,POSSESSION OF BASE/ROCK COCAINE,TENDERLOIN,processed,1050,-122.413869632561,37.781862188279206,7,6
11858,DRUG/NARCOTIC,Monday,SALE OF HEROIN,MISSION,processed,830,-122.420580440119,37.764996862298204,9,19
11859,LARCENY/THEFT,Wednesday,GRAND THEFT FROM A BUILDING,NORTHERN,non_processed,1200,-122.428109586774,37.7896905317319,6,29
11860,LARCENY/THEFT,Thursday,GRAND THEFT FROM LOCKED AUTO,BAYVIEW,non_processed,1260,-122.37849417397499,37.7304096808335,8,18
11861,ASSAULT,Saturday,THREATS AGAINST LIFE,PARK,non_processed,1150,-122.453563238036,37.7696403896003,9,10
11862,WARRANTS,Tuesday,WARRANT ARREST,SOUTHERN,processed,760,-122.408466556173,37.7807008318778,9,20
11863,VANDALISM,Thursday,"MALICIOUS MISCHIEF, GRAFFITI",SOUTHERN,non_processed,1200,-122.397388784833,37.7825543452197,6,16
11864,NON-CRIMINAL,Saturday,LOST PROPERTY,RICHMOND,non_processed,690,-122.461210550356,37.7830866899056,7,9
11865,NON-CRIMINAL,Monday,"AIDED CASE, MENTAL DISTURBED",SOUTHERN,processed,1342,-122.397091759801,37.7900661929348,8,29
11866,SUSPICIOUS OCC,Monday,SUSPICIOUS OCCURRENCE,INGLESIDE,non_processed,1050,-122.447095289615,37.7111225502685,7,25
11867,VEHICLE THEFT,Monday,"VEHICLE, RECOVERED, AUTO",RICHMOND,non_processed,1260,-122.48193060642599,37.7858827042519,8,1
11868,ASSAULT,Friday,BATTERY,SOUTHERN,non_processed,1030,-122.39410474493,37.785150776905105,9,16
11869,BURGLARY,Thursday,"BURGLARY OF FLAT, FORCIBLE ENTRY",PARK,non_processed,825,-122.43577940458,37.773828855912704,7,28
11870,RUNAWAY,Thursday,RUNAWAY,MISSION,processed,1350,-122.41791386187599,37.7635887638425,9,22
11871,LARCENY/THEFT,Friday,PETTY THEFT FROM LOCKED AUTO,NORTHERN,non_processed,630,-122.41856209710501,37.784184709130294,6,24
11872,OTHER OFFENSES,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",SOUTHERN,processed,1354,-122.410541166987,37.7709130566165,9,1
11873,VANDALISM,Friday,"MALICIOUS MISCHIEF, GRAFFITI",INGLESIDE,processed,90,-122.431204527188,37.7208557818126,6,17
11874,WARRANTS,Friday,ENROUTE TO DEPARTMENT OF CORRECTIONS,TENDERLOIN,processed,554,-122.414081138014,37.7832767266062,8,26
11875,DRUG/NARCOTIC,Monday,POSSESSION OF NARCOTICS PARAPHERNALIA,MISSION,processed,425,-122.42768226481701,37.768314800850206,6,27
11876,LARCENY/THEFT,Thursday,GRAND THEFT OF PROPERTY,RICHMOND,non_processed,65,-122.480452050161,37.7802790505429,9,15
11877,MISSING PERSON,Thursday,FOUND PERSON,SOUTHERN,non_processed,860,-122.401494315276,37.78582843274621,7,21
11878,LARCENY/THEFT,Monday,PETTY THEFT FROM A BUILDING,SOUTHERN,processed,1056,-122.40652098714399,37.7850629421661,7,11
11879,FORGERY/COUNTERFEITING,Saturday,"COUNTERFEITING, COINS OR NOTES",MISSION,processed,805,-122.418887293065,37.757621721202895,6,25
11880,LARCENY/THEFT,Sunday,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,non_processed,600,-122.40780528864201,37.7837068386088,8,28
11881,LARCENY/THEFT,Friday,PETTY THEFT SHOPLIFTING,SOUTHERN,non_processed,1038,-122.40255295786501,37.78847491468029,8,5
11882,VEHICLE THEFT,Thursday,"VEHICLE, RECOVERED, OTHER VEHICLE",BAYVIEW,non_processed,1190,-122.393535523904,37.727387876238495,9,15
11883,FRAUD,Friday,"CREDIT CARD, THEFT OF",PARK,non_processed,1380,-122.458951288653,37.748109259433896,7,29
11884,NON-CRIMINAL,Saturday,LOST PROPERTY,MISSION,non_processed,705,-122.433853391221,37.7488970756868,7,2
11885,NON-CRIMINAL,Sunday,LOST PROPERTY,TARAVAL,non_processed,1154,-122.478487751206,37.751327799173396,8,14
11886,ASSAULT,Friday,AGGRAVATED ASSAULT WITH A GUN,INGLESIDE,non_processed,255,-122.423091821471,37.7406428495212,7,1
11887,VANDALISM,Sunday,"MALICIOUS MISCHIEF, VANDALISM",TARAVAL,non_processed,1380,-122.479029659955,37.7201471723539,9,4
11888,BURGLARY,Friday,"BURGLARY, FORCIBLE ENTRY",MISSION,non_processed,162,-122.43169957972,37.761032344117204,9,16
11889,OTHER OFFENSES,Wednesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",INGLESIDE,processed,735,-122.436633817346,37.7258258537122,7,6
11890,LARCENY/THEFT,Thursday,PETTY THEFT OF PROPERTY,SOUTHERN,non_processed,1140,-122.40340479147899,37.775420706711,6,23
11891,LARCENY/THEFT,Wednesday,GRAND THEFT FROM A BUILDING,NORTHERN,non_processed,720,-122.43081631622299,37.7947333579366,6,22
11892,LARCENY/THEFT,Monday,PETTY THEFT FROM A BUILDING,CENTRAL,non_processed,430,-122.401267703652,37.8000126213743,7,18
11893,LARCENY/THEFT,Saturday,GRAND THEFT FROM A BUILDING,MISSION,processed,1110,-122.43422900395299,37.763485013784596,7,16
11894,ROBBERY,Tuesday,ROBBERY ON THE STREET WITH A GUN,TENDERLOIN,non_processed,1270,-122.414619686913,37.7855830588241,7,12
11895,LARCENY/THEFT,Sunday,PETTY THEFT OF PROPERTY,BAYVIEW,non_processed,1050,-122.398218611298,37.7599092376715,8,14
11896,LARCENY/THEFT,Tuesday,PETTY THEFT SHOPLIFTING,CENTRAL,non_processed,852,-122.40838427554199,37.7878271137225,7,26
11897,BURGLARY,Monday,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",INGLESIDE,non_processed,1200,-122.42130534839599,37.7321638759455,7,25
11898,BURGLARY,Thursday,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",TARAVAL,non_processed,570,-122.490300363594,37.744335084926206,8,11
11899,VEHICLE THEFT,Sunday,STOLEN AUTOMOBILE,SOUTHERN,non_processed,480,-122.416566863521,37.772680388008204,7,24
11900,WARRANTS,Monday,ENROUTE TO OUTSIDE JURISDICTION,TENDERLOIN,processed,555,-122.417146843843,37.7814463501111,6,20
11901,SUSPICIOUS OCC,Saturday,SUSPICIOUS ACT TOWARDS FEMALE,CENTRAL,non_processed,660,-122.41704429261401,37.789595277432205,8,13
11902,SUSPICIOUS OCC,Thursday,UNUSUAL OCCURENCE,SOUTHERN,non_processed,585,-122.365565425353,37.8096707013239,8,11
11903,LARCENY/THEFT,Friday,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,non_processed,1245,-122.40340479147899,37.775420706711,6,17
11904,"SEX OFFENSES, FORCIBLE",Wednesday,SEXUAL BATTERY,SOUTHERN,non_processed,1350,-122.40232147638001,37.78203871461721,6,29
11905,DRUG/NARCOTIC,Sunday,POSSESSION OF NARCOTICS PARAPHERNALIA,TENDERLOIN,processed,768,-122.41443315507,37.7846576329026,7,31
11906,OTHER OFFENSES,Thursday,VIOLATION OF RESTRAINING ORDER,CENTRAL,processed,690,-122.40649729336,37.7956016951648,9,15
11907,VEHICLE THEFT,Thursday,"VEHICLE, RECOVERED, AUTO",NORTHERN,non_processed,1080,-122.447305498131,37.7984582269101,7,28
11908,BURGLARY,Friday,"BURGLARY, UNLAWFUL ENTRY",SOUTHERN,non_processed,600,-122.414670783052,37.7742072167166,7,15
11909,VANDALISM,Tuesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",SOUTHERN,non_processed,420,-122.40340479147899,37.775420706711,8,23
11910,VEHICLE THEFT,Tuesday,"VEHICLE, RECOVERED, AUTO",RICHMOND,processed,1080,-122.483661456416,37.7791571012742,7,5
11911,RUNAWAY,Friday,RUNAWAY,BAYVIEW,non_processed,1020,-122.394438859914,37.736443899673205,9,23
11912,DRUG/NARCOTIC,Wednesday,POSSESSION OF HEROIN,TENDERLOIN,processed,554,-122.41426339037201,37.78175698479679,9,14
11913,DRUG/NARCOTIC,Thursday,POSSESSION OF NARCOTICS PARAPHERNALIA,TENDERLOIN,processed,610,-122.41222416474301,37.782072931180004,8,25
11914,TRESPASS,Saturday,TRESPASSING,NORTHERN,non_processed,560,-122.436507039587,37.7978600474455,7,23
11915,LARCENY/THEFT,Wednesday,PETTY THEFT FROM UNLOCKED AUTO,INGLESIDE,non_processed,405,-122.426661689935,37.74088636244,7,27
11916,VANDALISM,Friday,"MALICIOUS MISCHIEF, BREAKING WINDOWS",NORTHERN,non_processed,480,-122.42331109445499,37.7826291037434,8,5
11917,OTHER OFFENSES,Thursday,VIOLATION OF RESTRAINING ORDER,MISSION,non_processed,1260,-122.42853896465401,37.762484577308705,8,25
11918,OTHER OFFENSES,Friday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",SOUTHERN,processed,1120,-122.41316085097701,37.7774566611578,8,12
11919,WARRANTS,Wednesday,ENROUTE TO OUTSIDE JURISDICTION,BAYVIEW,processed,1370,-122.389865610375,37.737169944651704,7,27
11920,MISSING PERSON,Tuesday,MISSING ADULT,TENDERLOIN,processed,720,-122.415721688006,37.7830679886919,8,2
11921,BURGLARY,Thursday,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",MISSION,non_processed,60,-122.430095265728,37.7575739911182,6,16
11922,LARCENY/THEFT,Tuesday,GRAND THEFT FROM LOCKED AUTO,TARAVAL,non_processed,600,-122.49348839436199,37.751611759103206,8,16
11923,LARCENY/THEFT,Thursday,GRAND THEFT OF PROPERTY,RICHMOND,non_processed,785,-122.48058807529101,37.7812246032241,6,30
11924,NON-CRIMINAL,Wednesday,LOST PROPERTY,NORTHERN,non_processed,1380,-122.428969462908,37.7856179045546,9,14
11925,BURGLARY,Sunday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",NORTHERN,non_processed,1200,-122.422409727953,37.794866109474,7,17
11926,MISSING PERSON,Wednesday,MISSING JUVENILE,BAYVIEW,processed,495,-122.394438859914,37.736443899673205,6,29
11927,LARCENY/THEFT,Friday,GRAND THEFT FROM LOCKED AUTO,NORTHERN,non_processed,1320,-122.42263066197201,37.7838599994859,9,9
11928,WARRANTS,Thursday,WARRANT ARREST,MISSION,processed,538,-122.419671780303,37.7650501214714,7,14
11929,LARCENY/THEFT,Wednesday,ATTEMPTED THEFT FROM LOCKED VEHICLE,TARAVAL,non_processed,1290,-122.49194936479401,37.7144179707516,7,13
11930,BURGLARY,Thursday,"BURGLARY OF STORE, UNLAWFUL ENTRY",SOUTHERN,processed,855,-122.40535937175301,37.7859774761625,9,1
11931,VANDALISM,Tuesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",INGLESIDE,non_processed,900,-122.41659461298,37.7366732999684,7,12
11932,NON-CRIMINAL,Sunday,"AIDED CASE, MENTAL DISTURBED",INGLESIDE,non_processed,1308,-122.41604957150801,37.7354307818459,8,28
11933,NON-CRIMINAL,Thursday,FOUND PROPERTY,INGLESIDE,non_processed,180,-122.443696904589,37.71892797603861,7,28
11934,MISSING PERSON,Sunday,MISSING ADULT,CENTRAL,processed,75,-122.406842913454,37.7980587205991,9,18
11935,OTHER OFFENSES,Tuesday,DISRUPTS SCHOOL ACTIVITIES,NORTHERN,processed,675,-122.433764319296,37.7926280169618,9,20
11936,FORGERY/COUNTERFEITING,Monday,"CHECKS, MAKE OR PASS FICTITIOUS",BAYVIEW,processed,820,-122.38987748688801,37.7367416338184,6,27
11937,LARCENY/THEFT,Monday,GRAND THEFT BICYCLE,MISSION,non_processed,840,-122.42150630458,37.752438612527705,5,30
11938,VEHICLE THEFT,Saturday,STOLEN AUTOMOBILE,INGLESIDE,non_processed,480,-122.41196812728799,37.7092121482397,7,2
11939,OTHER OFFENSES,Saturday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",PARK,processed,1040,-122.437422446071,37.773132331609,8,27
11940,LARCENY/THEFT,Thursday,GRAND THEFT FROM LOCKED AUTO,MISSION,non_processed,1240,-122.419671780303,37.7650501214714,9,15
11941,LARCENY/THEFT,Sunday,GRAND THEFT FROM LOCKED AUTO,INGLESIDE,non_processed,1260,-122.41860971910201,37.7474453071495,8,14
11942,SUSPICIOUS OCC,Wednesday,SUSPICIOUS PERSON,CENTRAL,non_processed,163,-122.41493349573099,37.79125515439979,6,8
11943,LARCENY/THEFT,Sunday,ATTEMPTED THEFT FROM LOCKED VEHICLE,INGLESIDE,non_processed,1320,-122.40405361501101,37.718929910173,7,31
11944,ASSAULT,Sunday,BATTERY,MISSION,non_processed,115,-122.408192367387,37.752853419331394,8,14
11945,ASSAULT,Wednesday,BATTERY,CENTRAL,processed,519,-122.411302650354,37.798321225099,8,17
11946,VEHICLE THEFT,Friday,STOLEN MOTORCYCLE,MISSION,non_processed,960,-122.422701131084,37.763242714633705,9,2
11947,WARRANTS,Tuesday,ENROUTE TO OUTSIDE JURISDICTION,NORTHERN,processed,1140,-122.420307355728,37.7886989511418,6,28
11948,NON-CRIMINAL,Saturday,"AIDED CASE, MENTAL DISTURBED",MISSION,non_processed,140,-122.41907786565399,37.7675080444155,9,17
11949,NON-CRIMINAL,Saturday,PROPERTY FOR IDENTIFICATION,CENTRAL,non_processed,841,-122.40332128984699,37.7955312151363,7,23
11950,VANDALISM,Tuesday,"MALICIOUS MISCHIEF, GRAFFITI",RICHMOND,non_processed,540,-122.476432921487,37.776613144450394,6,21
11951,OTHER OFFENSES,Friday,UNKNOWN COMPLAINT,PARK,processed,910,-122.45099839151199,37.7737819829721,7,15
11952,NON-CRIMINAL,Friday,LOST PROPERTY,SOUTHERN,non_processed,1320,-122.40340479147899,37.775420706711,8,5
11953,DRUG/NARCOTIC,Saturday,POSSESSION OF MARIJUANA,TENDERLOIN,processed,1306,-122.40984944165501,37.78327552025671,7,9
11954,ASSAULT,Thursday,THREATS AGAINST LIFE,TARAVAL,non_processed,540,-122.502583905492,37.757746415669295,8,4
11955,DRUG/NARCOTIC,Friday,SALE OF BASE/ROCK COCAINE,TENDERLOIN,processed,1002,-122.409853729941,37.7833862379382,9,2
11956,NON-CRIMINAL,Thursday,IMPOUNDED VEHICLE,BAYVIEW,non_processed,815,-122.392628073591,37.73824404499911,9,22
11957,DRUG/NARCOTIC,Friday,POSSESSION OF COCAINE,MISSION,non_processed,638,-122.41965834371,37.7642205603745,6,17
11958,LARCENY/THEFT,Thursday,GRAND THEFT PICKPOCKET,CENTRAL,non_processed,210,-122.417209639437,37.790045901693894,6,16
11959,LARCENY/THEFT,Friday,PETTY THEFT FROM A BUILDING,CENTRAL,non_processed,480,-122.409056667085,37.7948767149744,5,13
11960,VEHICLE THEFT,Friday,"VEHICLE, RECOVERED, AUTO",NORTHERN,non_processed,1230,-122.42144658890801,37.777316514741294,9,23
11961,WARRANTS,Wednesday,ENROUTE TO OUTSIDE JURISDICTION,TENDERLOIN,non_processed,750,-122.412930522059,37.7838344374141,6,22
11962,DRUG/NARCOTIC,Tuesday,VISITING WHERE DRUGS ARE USED OR SMOKED,MISSION,processed,743,-122.423002014422,37.7647948860579,9,13
11963,LARCENY/THEFT,Tuesday,GRAND THEFT OF PROPERTY,MISSION,non_processed,1150,-122.409529913278,37.7657184395282,6,21
11964,LARCENY/THEFT,Monday,PETTY THEFT FROM LOCKED AUTO,BAYVIEW,non_processed,120,-122.38260023570801,37.73762713160429,7,4
11965,LARCENY/THEFT,Monday,GRAND THEFT FROM PERSON,CENTRAL,non_processed,1245,-122.410774214375,37.8084350175869,8,1
11966,OTHER OFFENSES,Thursday,RESISTING ARREST,SOUTHERN,processed,827,-122.408953598286,37.78328787354911,9,1
11967,VEHICLE THEFT,Sunday,STOLEN AUTOMOBILE,CENTRAL,non_processed,960,-122.402423032521,37.799383121984704,6,26
11968,MISSING PERSON,Monday,MISSING ADULT,NORTHERN,processed,840,-122.41931732407,37.7879136979106,7,18
11969,ROBBERY,Friday,"ROBBERY ON THE STREET, STRONGARM",SOUTHERN,non_processed,60,-122.40340479147899,37.775420706711,6,10
11970,"SEX OFFENSES, FORCIBLE",Tuesday,"FORCIBLE RAPE, BODILY FORCE",BAYVIEW,non_processed,420,-122.410999684769,37.7283041125654,2,1
11971,ASSAULT,Saturday,BATTERY,NORTHERN,non_processed,1360,-122.427179879518,37.7806552772342,7,2
11972,WARRANTS,Saturday,WARRANT ARREST,MISSION,processed,641,-122.419249494708,37.7489737561748,7,16
11973,WARRANTS,Friday,WARRANT ARREST,CENTRAL,non_processed,480,-122.40636439214701,37.8012735148407,7,15
11974,OTHER OFFENSES,Monday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",INGLESIDE,processed,885,-122.437046980276,37.716007626784894,8,8
11975,LARCENY/THEFT,Friday,PETTY THEFT SHOPLIFTING,SOUTHERN,processed,475,-122.395411806894,37.777355162376296,7,1
11976,NON-CRIMINAL,Tuesday,AIDED CASE,TARAVAL,non_processed,1025,-122.50420633639901,37.75019221919921,8,16
11977,OTHER OFFENSES,Saturday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",SOUTHERN,processed,1031,-122.40427017949301,37.7844788538516,9,3
11978,ROBBERY,Tuesday,ROBBERY ON THE STREET WITH A GUN,TENDERLOIN,non_processed,359,-122.41443315507,37.7846576329026,8,23
11979,NON-CRIMINAL,Monday,"DEATH REPORT, NATURAL CAUSES",BAYVIEW,non_processed,652,-122.395382931372,37.738405335176296,7,18
11980,VANDALISM,Monday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",TARAVAL,non_processed,1435,-122.50113673457199,37.73910559842621,8,22
11981,OTHER OFFENSES,Saturday,CONSPIRACY,BAYVIEW,processed,1215,-122.397670504193,37.7228758657574,7,16
11982,LARCENY/THEFT,Saturday,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,non_processed,90,-122.417504703152,37.7765400380099,7,23
11983,DRUG/NARCOTIC,Saturday,POSSESSION OF NARCOTICS PARAPHERNALIA,INGLESIDE,non_processed,1260,-122.44585628108801,37.721628294626996,7,16
11984,BURGLARY,Sunday,"BURGLARY,RESIDENCE UNDER CONSTRT, FORCIBLE ENTRY",PARK,non_processed,960,-122.438216208309,37.7680697954105,7,24
11985,VEHICLE THEFT,Friday,"VEHICLE, RECOVERED, AUTO",TARAVAL,non_processed,1095,-122.460845506311,37.7139872622666,8,19
11986,ROBBERY,Tuesday,"ROBBERY, BODILY FORCE",SOUTHERN,non_processed,765,-122.40806834515499,37.78399167679321,7,26
11987,NON-CRIMINAL,Saturday,FOUND PROPERTY,MISSION,non_processed,90,-122.406539115148,37.7564864109309,6,25
11988,OTHER OFFENSES,Wednesday,PAROLE VIOLATION,SOUTHERN,processed,872,-122.41762831134301,37.7719781799261,6,29
11989,VANDALISM,Sunday,"MALICIOUS MISCHIEF, VANDALISM",INGLESIDE,non_processed,1020,-122.455205237836,37.7325680906583,7,10
11990,OTHER OFFENSES,Tuesday,PROBATION VIOLATION,NORTHERN,processed,1308,-122.41983493862499,37.7863580362514,8,30
11991,VANDALISM,Saturday,"MALICIOUS MISCHIEF, VANDALISM",NORTHERN,non_processed,480,-122.44387449884898,37.8007457026357,7,2
11992,BURGLARY,Sunday,"BURGLARY OF STORE, FORCIBLE ENTRY",MISSION,non_processed,1320,-122.423061898379,37.75274830746061,8,21
11993,ASSAULT,Monday,BATTERY,SOUTHERN,processed,1285,-122.41133956255699,37.7812707434494,8,15
11994,BURGLARY,Thursday,"BURGLARY, FORCIBLE ENTRY",INGLESIDE,non_processed,1,-122.435095355516,37.740009827209,9,1
11995,ROBBERY,Thursday,ROBBERY ON THE STREET WITH A GUN,INGLESIDE,non_processed,1200,-122.426661689935,37.74088636244,9,15
11996,LARCENY/THEFT,Saturday,GRAND THEFT FROM LOCKED AUTO,NORTHERN,non_processed,1020,-122.42929373468999,37.7997871229702,7,9
11997,DRUG/NARCOTIC,Wednesday,POSSESSION OF NARCOTICS PARAPHERNALIA,MISSION,processed,1013,-122.418869000685,37.7513936595355,8,24
11998,FORGERY/COUNTERFEITING,Thursday,"CHECKS, FORGERY (MISDEMEANOR)",NORTHERN,processed,1080,-122.430436523482,37.7721069661715,5,26
11999,OTHER OFFENSES,Sunday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",SOUTHERN,processed,920,-122.402343659494,37.7811666837563,7,17
12000,VEHICLE THEFT,Friday,STOLEN TRUCK,BAYVIEW,non_processed,540,-122.39183425238998,37.7392287557399,9,9
12001,TRESPASS,Saturday,TRESPASSING,RICHMOND,processed,1050,-122.46683520872101,37.7790242416024,6,25
12002,OTHER OFFENSES,Friday,FALSE EVIDENCE OF VEHICLE REGISTRATION,TENDERLOIN,non_processed,1070,-122.413631253258,37.7848053746211,7,1
12003,LARCENY/THEFT,Tuesday,GRAND THEFT FROM LOCKED AUTO,NORTHERN,non_processed,435,-122.434558974681,37.792470985594605,7,5
12004,ASSAULT,Saturday,STALKING,TARAVAL,non_processed,1,-122.508685524013,37.755328180203,6,25
12005,LARCENY/THEFT,Wednesday,GRAND THEFT FROM LOCKED AUTO,NORTHERN,non_processed,1140,-122.43327840676099,37.7944725141146,6,15
12006,TRESPASS,Friday,TRESPASSING,SOUTHERN,processed,1335,-122.405395493939,37.7835100715421,8,5
12007,LARCENY/THEFT,Wednesday,PETTY THEFT WITH PRIOR,PARK,processed,761,-122.446612978839,37.7822458223917,9,14
12008,VEHICLE THEFT,Saturday,STOLEN AUTOMOBILE,SOUTHERN,non_processed,1290,-122.39781658953899,37.7846680653709,8,27
12009,LARCENY/THEFT,Saturday,GRAND THEFT FROM LOCKED AUTO,MISSION,non_processed,1380,-122.41848629658199,37.763495437318895,9,10
12010,OTHER OFFENSES,Wednesday,MISCELLANEOUS STATE MISDEMEANOR,BAYVIEW,processed,540,-122.38718139079201,37.74757760951071,8,24
12011,ROBBERY,Sunday,ROBBERY OF A RESIDENCE WITH A GUN,BAYVIEW,non_processed,1010,-122.40322531126999,37.7339124465314,7,24
12012,MISSING PERSON,Friday,MISSING JUVENILE,TARAVAL,non_processed,1140,-122.45315825844,37.719497600502294,5,20
12013,VANDALISM,Friday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",CENTRAL,non_processed,630,-122.41303277096901,37.7947762914457,6,17
12014,OTHER OFFENSES,Tuesday,LOST/STOLEN LICENSE PLATE,INGLESIDE,non_processed,660,-122.448197105075,37.7143558674754,8,9
12015,NON-CRIMINAL,Tuesday,LOST PROPERTY,RICHMOND,non_processed,1320,-122.480452050119,37.7802790505664,8,30
12016,VEHICLE THEFT,Friday,STOLEN AUTOMOBILE,TENDERLOIN,non_processed,610,-122.416099193953,37.7849300262869,9,16
12017,OTHER OFFENSES,Wednesday,PROBATION VIOLATION,TENDERLOIN,processed,820,-122.412054141237,37.7816136403158,7,13
12018,ASSAULT,Tuesday,BATTERY,TENDERLOIN,non_processed,370,-122.410791677645,37.7836952269749,6,28
12019,WARRANTS,Sunday,WARRANT ARREST,CENTRAL,processed,94,-122.405065483077,37.7980134745487,9,4
12020,WARRANTS,Thursday,ENROUTE TO OUTSIDE JURISDICTION,MISSION,processed,930,-122.415308388823,37.7653161356396,7,21
12021,ASSAULT,Saturday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,CENTRAL,processed,1222,-122.415654629547,37.7864672409674,8,13
12022,BURGLARY,Monday,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",CENTRAL,non_processed,960,-122.415160494169,37.7879211003359,7,18
12023,VEHICLE THEFT,Tuesday,"VEHICLE, RECOVERED, AUTO",SOUTHERN,non_processed,810,-122.402796752782,37.7680025310557,7,5
12024,OTHER OFFENSES,Wednesday,MISCELLANEOUS STATE FELONY,NORTHERN,non_processed,1080,-122.42812986551901,37.7814240041364,8,31
12025,OTHER OFFENSES,Monday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",BAYVIEW,processed,425,-122.404658361443,37.7329487043512,7,25
12026,VEHICLE THEFT,Friday,STOLEN AUTOMOBILE,TARAVAL,non_processed,1290,-122.476962048966,37.7626195756298,9,9
12027,WEAPON LAWS,Tuesday,CARRYING A CONCEALED WEAPON,TARAVAL,non_processed,680,-122.502708098898,37.7614820910625,7,12
12028,VEHICLE THEFT,Sunday,"VEHICLE, RECOVERED, AUTO",INGLESIDE,non_processed,1125,-122.435402806325,37.7255783922288,8,7
12029,LARCENY/THEFT,Friday,PETTY THEFT OF PROPERTY,NORTHERN,non_processed,840,-122.422695629372,37.7921733284299,7,29
12030,ASSAULT,Thursday,BATTERY,NORTHERN,non_processed,60,-122.418500584434,37.7764380944444,6,30
12031,BURGLARY,Wednesday,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",PARK,non_processed,360,-122.442353059832,37.772037861030505,7,20
12032,WARRANTS,Tuesday,ENROUTE TO DEPARTMENT OF CORRECTIONS,NORTHERN,non_processed,360,-122.42883596342699,37.7811808500926,12,14
12033,KIDNAPPING,Tuesday,CHILD STEALING,NORTHERN,non_processed,1020,-122.430562907175,37.776920009322794,8,9
12034,DRUNKENNESS,Thursday,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,NORTHERN,processed,1412,-122.422076812058,37.797126504747,6,16
12035,DRUG/NARCOTIC,Thursday,POSSESSION OF MARIJUANA,PARK,processed,960,-122.453512911126,37.7686969786551,6,16
12036,LARCENY/THEFT,Thursday,PETTY THEFT OF PROPERTY,TARAVAL,non_processed,180,-122.504335220968,37.7605498553171,9,1
12037,LARCENY/THEFT,Thursday,PETTY THEFT AUTO STRIP,INGLESIDE,non_processed,120,-122.445452064292,37.729949565610596,8,4
12038,SUSPICIOUS OCC,Monday,SUSPICIOUS OCCURRENCE,BAYVIEW,non_processed,600,-122.394046313022,37.729521000614795,9,19
12039,BURGLARY,Saturday,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",BAYVIEW,non_processed,900,-122.37826801848101,37.7323807302226,8,20
12040,SECONDARY CODES,Tuesday,DOMESTIC VIOLENCE,PARK,processed,778,-122.44691608078001,37.773886367051,9,20
12041,ASSAULT,Thursday,BATTERY,NORTHERN,non_processed,1260,-122.425514575403,37.7727341031138,1,23
12042,OTHER OFFENSES,Sunday,RESISTING ARREST,TENDERLOIN,processed,1405,-122.412784096509,37.7848656939297,6,26
12043,ROBBERY,Tuesday,ROBBERY ON THE STREET WITH A DANGEROUS WEAPON,INGLESIDE,non_processed,1317,-122.407928236481,37.7114477413655,8,23
